Backgrounds,Signed up,Applied,Accepted,Approved,Realized,Finished,Completed,Gender,GPA,Funding,Campus
Sustainability,1,0,0,0,0,0,0,Female,0.76,No,UBC
Industrial engineering,1,0,0,0,0,0,0,Male,1.03,No,UBC
Business administration,292,916,114,79,72,0,1,Male,2.11,No,SFU Surrey
Marketing,74,377,38,28,28,0,0,Female,0.59,No,SFU Vancouver
Communication & journalism,69,251,36,22,21,0,0,Male,1.85,Yes,SFU Surrey
Arts,47,147,32,17,16,0,0,Male,0.97,Yes,SFU Burnaby
Economics,65,317,26,16,14,0,1,Female,0.22,No,SFU Burnaby
Psychology,70,314,33,16,14,0,0,Male,2.88,Yes,SFU Vancouver
Mathematics,45,162,24,14,12,0,0,Female,2.07,Yes,SFU Burnaby
Computer sciences,51,176,17,12,11,0,0,Female,3.16,No,SFU Burnaby
Biology,43,102,21,11,9,1,0,Male,1.61,No,SFU Burnaby
Education,42,173,20,10,9,0,1,Female,2.29,Yes,SFU Burnaby
International relations,47,126,24,9,9,0,0,Female,1.27,Yes,SFU Surrey
Law,19,66,11,9,8,0,1,Female,3.25,No,SFU Burnaby
Literature,14,90,14,9,8,0,0,Female,0.94,No,SFU Surrey
Other,56,150,22,9,9,0,0,Female,2.54,No,SFU Burnaby
Accounting,51,122,14,7,7,0,0,Male,1.39,Yes,SFU Burnaby
Chemistry,25,70,11,7,5,0,0,Female,2.07,No,SFU Burnaby
Sociology,22,112,13,7,7,0,0,Female,0.59,No,SFU Burnaby
Geography,19,58,10,6,6,0,1,Male,0.55,No,SFU Vancouver
Linguistics,15,101,10,6,6,0,0,Male,0.63,No,SFU Burnaby
Medicine,6,56,9,6,6,0,0,Female,0.44,Yes,SFU Vancouver
Human Resources,12,73,6,6,5,0,1,Male,0.92,Yes,SFU Surrey
Graphic design,15,80,7,5,4,0,0,Male,1.96,No,SFU Burnaby
Philosophy,17,63,12,5,5,0,0,Female,3.33,No,SFU Burnaby
Physics,17,36,7,5,5,0,0,Male,1.43,No,SFU Vancouver
Political science,32,128,18,5,5,0,1,Female,2.52,Yes,SFU Vancouver
Software development and programming,15,62,5,4,2,0,0,Male,1.98,No,SFU Surrey
Tourism & hotel management,3,44,5,4,4,0,0,Male,0.69,No,SFU Surrey
Health Science,26,56,12,4,4,0,0,Male,1.15,No,SFU Burnaby
Languages,24,59,7,4,4,0,0,Female,3.94,No,SFU Burnaby
Finance,30,136,7,3,3,0,0,Female,0.6,No,SFU Vancouver
Computer engineering,12,36,2,2,2,0,1,Female,1.25,Yes,SFU Burnaby
Agriculture,2,25,5,1,1,0,0,Male,2.92,Yes,SFU Burnaby
Archeology,4,14,2,1,1,0,0,Female,4.31,Yes,SFU Surrey
Architecture,2,12,1,1,1,0,0,Female,1.36,Yes,SFU Burnaby
Electronics engineering,6,16,1,1,1,0,0,Female,2.35,No,SFU Vancouver
Public administration,2,2,1,1,1,0,0,Female,1.06,Yes,SFU Burnaby
Public relations,6,48,6,1,1,0,0,Female,1.46,No,SFU Surrey
Religion,1,24,5,1,1,0,0,Female,1.73,No,SFU Vancouver
Biomedical Science,10,7,3,1,1,0,1,Female,1.58,Yes,SFU Surrey
Earth Sciences,1,10,5,1,1,0,0,Male,0.5,Yes,SFU Vancouver
Entrepreneurship,5,4,1,1,1,0,0,Female,1.38,No,SFU Vancouver
History,11,43,2,1,1,0,0,Female,4.13,Yes,SFU Surrey
Media Arts,12,41,2,1,1,0,0,Female,4.16,Yes,SFU Vancouver
Social Work,1,3,1,1,1,0,0,Female,2.99,No,SFU Surrey
Statistics,4,41,1,1,0,0,0,Male,1.84,No,SFU Burnaby
Design,12,43,1,0,0,0,0,Male,0.12,Yes,SFU Vancouver
Mechanical engineering,10,37,0,0,0,0,0,Male,1.87,Yes,SFU Vancouver
Systems and Computing Engineering,5,28,0,0,0,0,0,Male,1.53,No,SFU Burnaby
Electrical engineering,8,27,0,0,0,0,0,Female,4.21,No,SFU Vancouver
Aerospace engineering,3,22,0,0,0,0,0,Female,1.39,No,SFU Vancouver
Industrial engineering,1,22,0,0,0,0,0,Male,2.6,No,SFU Surrey
Material engineering,1,22,0,0,0,0,0,Male,2.1,No,SFU Surrey
Bioengineering,1,22,0,0,0,0,0,Female,3.48,Yes,SFU Burnaby
Sports,4,10,0,0,0,0,0,Male,3.31,Yes,SFU Vancouver
Ecology,2,8,0,0,0,0,0,Male,0.42,No,SFU Vancouver
Chemical engineering,1,7,0,0,0,0,0,Female,1.18,No,SFU Burnaby
Logistics,1,4,0,0,0,0,0,Female,3.59,No,SFU Burnaby
Theatre,2,4,0,0,0,0,0,Female,3.28,No,SFU Burnaby
Banking,5,3,0,0,0,0,0,Male,3.38,Yes,SFU Vancouver
International Trade,2,2,0,0,0,0,0,Male,3.77,Yes,SFU Burnaby
Environmental engineering,1,1,0,0,0,0,0,Male,1.54,No,SFU Burnaby
Anthropology,1,1,0,0,0,0,0,Male,3.64,No,SFU Vancouver
Audit,1,0,0,0,0,0,0,Male,0.29,No,SFU Vancouver
